date,state,branch,category,subcategory,cases
2022-04-01,Kelantan,Kelantan,Syariah,Keluarga Syariah,53
2022-04-01,Kelantan,Kelantan,Syariah,Tidak Dinyatakan,49
2022-04-01,Melaka,Melaka,Jenayah,Jenayah Luar Bidang Kuasa,2
2022-04-01,Melaka,Melaka,Sivil,Keluarga Sivil,14
2022-04-01,Melaka,Melaka,Sivil,Sivil Luar Bidang Kuasa,12
2022-04-01,Melaka,Melaka,Sivil,Sivil Pelbagai,9
2022-04-01,Melaka,Melaka,Sivil,Tidak Dinyatakan,1
2022-04-01,Melaka,Melaka,Syariah,Keluarga Syariah,45
2022-04-01,Melaka,Melaka,Syariah,Tidak Dinyatakan,1
2022-04-01,Negeri Sembilan,Negeri Sembilan,Jenayah,Tidak Dinyatakan,2
2022-04-01,Negeri Sembilan,Negeri Sembilan,Sivil,Keluarga Sivil,38
2022-04-01,Negeri Sembilan,Negeri Sembilan,Sivil,Sivil Pelbagai,1
2022-04-01,Negeri Sembilan,Negeri Sembilan,Sivil,Tidak Dinyatakan,15
2022-04-01,Negeri Sembilan,Negeri Sembilan,Syariah,Keluarga Syariah,39
2022-04-01,Negeri Sembilan,Negeri Sembilan,Syariah,Tidak Dinyatakan,6
2022-04-01,Pahang,Pahang,Jenayah,Jenayah Bidang Kuasa,25
2022-04-01,Pahang,Pahang,Jenayah,Jenayah Luar Bidang Kuasa,44
2022-04-01,Pahang,Pahang,Jenayah,Tidak Dinyatakan,3
2022-04-01,Pahang,Pahang,Sivil,Keluarga Sivil,5
2022-04-01,Pahang,Pahang,Sivil,Sivil Luar Bidang Kuasa,4
2022-04-01,Pahang,Pahang,Sivil,Sivil Pelbagai,4
2022-04-01,Pahang,Pahang,Syariah,Keluarga Syariah,43
2022-04-01,Pahang,Pahang,Syariah,Tidak Dinyatakan,1
2022-04-01,Pahang,Raub,Sivil,Keluarga Sivil,4
2022-04-01,Pahang,Raub,Syariah,Keluarga Syariah,19
2022-04-01,Pahang,Raub,Syariah,Tidak Dinyatakan,1
2022-04-01,Perak,Perak,Jenayah,Jenayah Luar Bidang Kuasa,3
2022-04-01,Perak,Perak,Sivil,Keluarga Sivil,85
2022-04-01,Perak,Perak,Sivil,Sivil Luar Bidang Kuasa,21
2022-04-01,Perak,Perak,Sivil,Sivil Pelbagai,24
2022-04-01,Perak,Perak,Sivil,Tidak Dinyatakan,4
2022-04-01,Perak,Perak,Syariah,Keluarga Syariah,66
2022-04-01,Perak,Perak,Syariah,Syariah Luar Bidang Kuasa,2
2022-04-01,Perak,Taiping,Jenayah,Tidak Dinyatakan,1
2022-04-01,Perak,Taiping,Sivil,Keluarga Sivil,16
2022-04-01,Perak,Taiping,Sivil,Sivil Luar Bidang Kuasa,6
2022-04-01,Perak,Taiping,Sivil,Sivil Pelbagai,11
2022-04-01,Perak,Taiping,Sivil,Tidak Dinyatakan,6
2022-04-01,Perak,Taiping,Syariah,Keluarga Syariah,28
2022-04-01,Perlis,Perlis,Jenayah,Jenayah Bidang Kuasa,4
2022-04-01,Perlis,Perlis,Jenayah,Jenayah Luar Bidang Kuasa,5
2022-04-01,Perlis,Perlis,Sivil,Keluarga Sivil,15
2022-04-01,Perlis,Perlis,Sivil,Sivil Luar Bidang Kuasa,1
2022-04-01,Perlis,Perlis,Sivil,Sivil Pelbagai,6
2022-04-01,Perlis,Perlis,Syariah,Keluarga Syariah,34
2022-04-01,Perlis,Perlis,Syariah,Syariah Luar Bidang Kuasa,1
2022-04-01,Pulau Pinang,Pulau Pinang,Jenayah,Jenayah Bidang Kuasa,6
2022-04-01,Pulau Pinang,Pulau Pinang,Jenayah,Jenayah Luar Bidang Kuasa,16
2022-04-01,Pulau Pinang,Pulau Pinang,Sivil,Keluarga Sivil,98
2022-04-01,Pulau Pinang,Pulau Pinang,Sivil,Sivil Luar Bidang Kuasa,15
2022-04-01,Pulau Pinang,Pulau Pinang,Sivil,Sivil Pelbagai,25
2022-04-01,Pulau Pinang,Pulau Pinang,Syariah,Keluarga Syariah,61
2022-04-01,Sarawak,Miri,Sivil,Keluarga Sivil,61
2022-04-01,Sarawak,Miri,Sivil,Sivil Luar Bidang Kuasa,6
2022-04-01,Sarawak,Miri,Syariah,Keluarga Syariah,8
2022-04-01,Sarawak,Sarawak,Jenayah,Jenayah Bidang Kuasa,1
2022-04-01,Sarawak,Sarawak,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-04-01,Sarawak,Sarawak,Sivil,Keluarga Sivil,84
2022-04-01,Sarawak,Sarawak,Sivil,Sivil Luar Bidang Kuasa,13
2022-04-01,Sarawak,Sarawak,Sivil,Sivil Pelbagai,3
2022-04-01,Sarawak,Sarawak,Syariah,Keluarga Syariah,30
2022-04-01,Sarawak,Sibu,Sivil,Keluarga Sivil,35
2022-04-01,Sarawak,Sibu,Sivil,Sivil Luar Bidang Kuasa,1
2022-04-01,Sarawak,Sibu,Sivil,Sivil Pelbagai,3
2022-04-01,Sarawak,Sibu,Sivil,Tidak Dinyatakan,1
2022-04-01,Sarawak,Sibu,Syariah,Keluarga Syariah,11
2022-04-01,Selangor,Selangor,Jenayah,Jenayah Bidang Kuasa,1
2022-04-01,Selangor,Selangor,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-04-01,Selangor,Selangor,Jenayah,Tidak Dinyatakan,2
2022-04-01,Selangor,Selangor,Sivil,Keluarga Sivil,47
2022-04-01,Selangor,Selangor,Sivil,Sivil Luar Bidang Kuasa,16
2022-04-01,Selangor,Selangor,Sivil,Sivil Pelbagai,15
2022-04-01,Selangor,Selangor,Sivil,Tidak Dinyatakan,98
2022-04-01,Selangor,Selangor,Syariah,Keluarga Syariah,136
2022-04-01,Selangor,Selangor,Syariah,Tidak Dinyatakan,6
2022-04-01,Terengganu,Terengganu,Jenayah,Jenayah Luar Bidang Kuasa,2
2022-04-01,Terengganu,Terengganu,Sivil,Keluarga Sivil,4
2022-04-01,Terengganu,Terengganu,Sivil,Sivil Luar Bidang Kuasa,1
2022-04-01,Terengganu,Terengganu,Sivil,Sivil Pelbagai,2
2022-04-01,Terengganu,Terengganu,Syariah,Keluarga Syariah,70
2022-04-01,Terengganu,Terengganu,Syariah,Tidak Dinyatakan,3
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Jenayah,Tidak Dinyatakan,1
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Keluarga Sivil,44
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Sivil Luar Bidang Kuasa,8
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Sivil Pelbagai,3
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Tidak Dinyatakan,74
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,Keluarga Syariah,31
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,Syariah Luar Bidang Kuasa,1
2022-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,Tidak Dinyatakan,36
2022-04-01,W.P. Labuan,Labuan,Jenayah,Jenayah Bidang Kuasa,1
2022-04-01,W.P. Labuan,Labuan,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-04-01,W.P. Labuan,Labuan,Jenayah,Tidak Dinyatakan,1
2022-04-01,W.P. Labuan,Labuan,Sivil,Keluarga Sivil,50
2022-04-01,W.P. Labuan,Labuan,Sivil,Sivil Luar Bidang Kuasa,10
2022-04-01,W.P. Labuan,Labuan,Sivil,Sivil Pelbagai,20
2022-04-01,W.P. Labuan,Labuan,Sivil,Tidak Dinyatakan,17
2022-04-01,W.P. Labuan,Labuan,Syariah,Keluarga Syariah,26
2022-04-01,W.P. Labuan,Labuan,Syariah,Tidak Dinyatakan,36
2022-04-01,W.P. Putrajaya,Ibu Pejabat,Sivil,Sivil Luar Bidang Kuasa,5
2022-04-01,W.P. Putrajaya,Ibu Pejabat,Sivil,Sivil Pelbagai,8
2022-04-01,W.P. Putrajaya,Ibu Pejabat,Sivil,Tidak Dinyatakan,12
2022-04-01,W.P. Putrajaya,Ibu Pejabat,Syariah,Keluarga Syariah,4
2022-05-01,Johor,Johor,Jenayah,Jenayah Bidang Kuasa,3
2022-05-01,Johor,Johor,Jenayah,Jenayah Luar Bidang Kuasa,38
2022-05-01,Johor,Johor,Jenayah,Tidak Dinyatakan,12
2022-05-01,Johor,Johor,Sivil,Keluarga Sivil,69
2022-05-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,8
2022-05-01,Johor,Johor,Sivil,Sivil Pelbagai,14
2022-05-01,Johor,Johor,Sivil,Tidak Dinyatakan,32
2022-05-01,Johor,Johor,Syariah,Keluarga Syariah,178
2022-05-01,Johor,Johor,Syariah,Syariah Luar Bidang Kuasa,2
2022-05-01,Johor,Muar,Jenayah,Tidak Dinyatakan,1
2022-05-01,Johor,Muar,Sivil,Sivil Luar Bidang Kuasa,3
2022-05-01,Johor,Muar,Sivil,Tidak Dinyatakan,8
2022-05-01,Johor,Muar,Syariah,Keluarga Syariah,45
2022-05-01,Johor,Muar,Syariah,Tidak Dinyatakan,1
2022-05-01,Kedah,Kedah,Jenayah,Jenayah Bidang Kuasa,1
2022-05-01,Kedah,Kedah,Jenayah,Jenayah Luar Bidang Kuasa,31
2022-05-01,Kedah,Kedah,Sivil,Keluarga Sivil,5
2022-05-01,Kedah,Kedah,Sivil,Sivil Luar Bidang Kuasa,1
2022-05-01,Kedah,Kedah,Sivil,Sivil Pelbagai,2
2022-05-01,Kedah,Kedah,Sivil,Tidak Dinyatakan,12
2022-05-01,Kedah,Kedah,Syariah,Keluarga Syariah,113
2022-05-01,Kedah,Kedah,Syariah,Tidak Dinyatakan,12
2022-05-01,Kedah,Langkawi,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-05-01,Kedah,Langkawi,Sivil,Sivil Luar Bidang Kuasa,1
2022-05-01,Kedah,Langkawi,Sivil,Sivil Pelbagai,1
2022-05-01,Kedah,Langkawi,Syariah,Keluarga Syariah,22
2022-05-01,Kelantan,Gua Musang,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-05-01,Kelantan,Gua Musang,Sivil,Sivil Luar Bidang Kuasa,2
2022-05-01,Kelantan,Gua Musang,Sivil,Sivil Pelbagai,1
2022-05-01,Kelantan,Gua Musang,Syariah,Keluarga Syariah,10
2022-05-01,Kelantan,Kelantan,Jenayah,Jenayah Bidang Kuasa,3
2022-05-01,Kelantan,Kelantan,Jenayah,Jenayah Luar Bidang Kuasa,3
2022-05-01,Kelantan,Kelantan,Sivil,Keluarga Sivil,4
2022-05-01,Kelantan,Kelantan,Sivil,Sivil Luar Bidang Kuasa,2
2022-05-01,Kelantan,Kelantan,Sivil,Sivil Pelbagai,7
2022-05-01,Kelantan,Kelantan,Sivil,Tidak Dinyatakan,137
2022-05-01,Kelantan,Kelantan,Syariah,Keluarga Syariah,65
2022-05-01,Kelantan,Kelantan,Syariah,Syariah Luar Bidang Kuasa,1
2022-05-01,Melaka,Melaka,Jenayah,Jenayah Bidang Kuasa,5
2022-05-01,Melaka,Melaka,Jenayah,Jenayah Luar Bidang Kuasa,3
2022-05-01,Melaka,Melaka,Sivil,Keluarga Sivil,17
2022-05-01,Melaka,Melaka,Sivil,Sivil Luar Bidang Kuasa,3
2022-05-01,Melaka,Melaka,Sivil,Sivil Pelbagai,5
2022-05-01,Melaka,Melaka,Syariah,Keluarga Syariah,41
2022-05-01,Negeri Sembilan,Negeri Sembilan,Jenayah,Tidak Dinyatakan,53
2022-05-01,Negeri Sembilan,Negeri Sembilan,Sivil,Keluarga Sivil,26
2022-05-01,Negeri Sembilan,Negeri Sembilan,Sivil,Sivil Pelbagai,3
2022-05-01,Negeri Sembilan,Negeri Sembilan,Sivil,Tidak Dinyatakan,7
2022-05-01,Negeri Sembilan,Negeri Sembilan,Syariah,Keluarga Syariah,36
2022-05-01,Negeri Sembilan,Negeri Sembilan,Syariah,Tidak Dinyatakan,6
2022-05-01,Pahang,Pahang,Sivil,Keluarga Sivil,9
2022-05-01,Pahang,Pahang,Sivil,Sivil Luar Bidang Kuasa,2
2022-05-01,Pahang,Pahang,Sivil,Sivil Pelbagai,1
2022-05-01,Pahang,Pahang,Sivil,Tidak Dinyatakan,1
2022-05-01,Pahang,Pahang,Syariah,Keluarga Syariah,43
2022-05-01,Pahang,Pahang,Syariah,Syariah Luar Bidang Kuasa,1
2022-05-01,Pahang,Pahang,Syariah,Tidak Dinyatakan,1
2022-05-01,Pahang,Raub,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-05-01,Pahang,Raub,Sivil,Keluarga Sivil,2
2022-05-01,Pahang,Raub,Sivil,Sivil Pelbagai,3
2022-05-01,Pahang,Raub,Syariah,Keluarga Syariah,20
2022-05-01,Pahang,Raub,Syariah,Syariah Luar Bidang Kuasa,1
2022-05-01,Perak,Perak,Jenayah,Jenayah Luar Bidang Kuasa,4
2022-05-01,Perak,Perak,Sivil,Keluarga Sivil,73
2022-05-01,Perak,Perak,Sivil,Sivil Luar Bidang Kuasa,10
2022-05-01,Perak,Perak,Sivil,Sivil Pelbagai,17
2022-05-01,Perak,Perak,Sivil,Tidak Dinyatakan,3
2022-05-01,Perak,Perak,Syariah,Keluarga Syariah,62
2022-05-01,Perak,Perak,Syariah,Syariah Luar Bidang Kuasa,1
2022-05-01,Perak,Taiping,Sivil,Keluarga Sivil,6
2022-05-01,Perak,Taiping,Sivil,Sivil Pelbagai,4
2022-05-01,Perak,Taiping,Sivil,Tidak Dinyatakan,3
2022-05-01,Perak,Taiping,Syariah,Tidak Dinyatakan,2
2022-05-01,Perlis,Perlis,Jenayah,Jenayah Bidang Kuasa,1
2022-05-01,Perlis,Perlis,Jenayah,Jenayah Luar Bidang Kuasa,22
2022-05-01,Perlis,Perlis,Sivil,Keluarga Sivil,3
2022-05-01,Perlis,Perlis,Sivil,Sivil Luar Bidang Kuasa,6
2022-05-01,Perlis,Perlis,Sivil,Sivil Pelbagai,5
2022-05-01,Perlis,Perlis,Sivil,Tidak Dinyatakan,1
2022-05-01,Perlis,Perlis,Syariah,Keluarga Syariah,2
2022-05-01,Pulau Pinang,Pulau Pinang,Jenayah,Jenayah Bidang Kuasa,1
2022-05-01,Pulau Pinang,Pulau Pinang,Jenayah,Jenayah Luar Bidang Kuasa,23
2022-05-01,Pulau Pinang,Pulau Pinang,Sivil,Keluarga Sivil,41
2022-05-01,Pulau Pinang,Pulau Pinang,Sivil,Sivil Luar Bidang Kuasa,6
2022-05-01,Pulau Pinang,Pulau Pinang,Sivil,Sivil Pelbagai,12
2022-05-01,Pulau Pinang,Pulau Pinang,Sivil,Tidak Dinyatakan,1
2022-05-01,Pulau Pinang,Pulau Pinang,Syariah,Keluarga Syariah,76
2022-05-01,Pulau Pinang,Pulau Pinang,Syariah,Syariah Luar Bidang Kuasa,1
2022-05-01,Pulau Pinang,Pulau Pinang,Syariah,Tidak Dinyatakan,2
2022-05-01,Sarawak,Miri,Sivil,Keluarga Sivil,36
2022-05-01,Sarawak,Miri,Sivil,Sivil Luar Bidang Kuasa,4
2022-05-01,Sarawak,Miri,Sivil,Sivil Pelbagai,1
2022-05-01,Sarawak,Miri,Syariah,Keluarga Syariah,16
2022-05-01,Sarawak,Sarawak,Jenayah,Jenayah Luar Bidang Kuasa,4
2022-05-01,Sarawak,Sarawak,Sivil,Keluarga Sivil,57
2022-05-01,Sarawak,Sarawak,Sivil,Sivil Luar Bidang Kuasa,8
2022-05-01,Sarawak,Sarawak,Sivil,Sivil Pelbagai,4
2022-05-01,Sarawak,Sarawak,Syariah,Keluarga Syariah,44
2022-05-01,Sarawak,Sibu,Sivil,Keluarga Sivil,31
2022-05-01,Sarawak,Sibu,Sivil,Sivil Pelbagai,1
2022-05-01,Sarawak,Sibu,Syariah,Keluarga Syariah,3
2022-05-01,Selangor,Selangor,Jenayah,Jenayah Bidang Kuasa,3
2022-05-01,Selangor,Selangor,Jenayah,Jenayah Luar Bidang Kuasa,11
2022-05-01,Selangor,Selangor,Sivil,Keluarga Sivil,22
2022-05-01,Selangor,Selangor,Sivil,Sivil Luar Bidang Kuasa,12
2022-05-01,Selangor,Selangor,Sivil,Sivil Pelbagai,11
2022-05-01,Selangor,Selangor,Sivil,Tidak Dinyatakan,159
2022-05-01,Selangor,Selangor,Syariah,Keluarga Syariah,136
2022-05-01,Selangor,Selangor,Syariah,Syariah Luar Bidang Kuasa,1
2022-05-01,Terengganu,Terengganu,Jenayah,Jenayah Luar Bidang Kuasa,4
2022-05-01,Terengganu,Terengganu,Sivil,Keluarga Sivil,1
2022-05-01,Terengganu,Terengganu,Sivil,Sivil Luar Bidang Kuasa,3
2022-05-01,Terengganu,Terengganu,Sivil,Sivil Pelbagai,10
2022-05-01,Terengganu,Terengganu,Syariah,Keluarga Syariah,68
2022-05-01,Terengganu,Terengganu,Syariah,Tidak Dinyatakan,2
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Jenayah,Jenayah Luar Bidang Kuasa,4
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Jenayah,Tidak Dinyatakan,6
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Keluarga Sivil,53
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Sivil Luar Bidang Kuasa,13
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Sivil Pelbagai,6
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,Tidak Dinyatakan,63
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,Keluarga Syariah,33
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,Syariah Luar Bidang Kuasa,1
2022-05-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,Tidak Dinyatakan,60
2022-05-01,W.P. Labuan,Labuan,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-05-01,W.P. Labuan,Labuan,Sivil,Keluarga Sivil,40
2022-05-01,W.P. Labuan,Labuan,Sivil,Sivil Luar Bidang Kuasa,5
2022-05-01,W.P. Labuan,Labuan,Sivil,Sivil Pelbagai,11
2022-05-01,W.P. Labuan,Labuan,Sivil,Tidak Dinyatakan,5
2022-05-01,W.P. Labuan,Labuan,Syariah,Keluarga Syariah,24
2022-05-01,W.P. Labuan,Labuan,Syariah,Syariah Luar Bidang Kuasa,2
2022-05-01,W.P. Labuan,Labuan,Syariah,Tidak Dinyatakan,40
2022-05-01,W.P. Putrajaya,Ibu Pejabat,Jenayah,Jenayah Bidang Kuasa,1
2022-05-01,W.P. Putrajaya,Ibu Pejabat,Jenayah,Jenayah Luar Bidang Kuasa,2
2022-05-01,W.P. Putrajaya,Ibu Pejabat,Sivil,Sivil Luar Bidang Kuasa,8
2022-05-01,W.P. Putrajaya,Ibu Pejabat,Sivil,Sivil Pelbagai,5
2022-05-01,W.P. Putrajaya,Ibu Pejabat,Sivil,Tidak Dinyatakan,9
2022-05-01,W.P. Putrajaya,Ibu Pejabat,Syariah,Keluarga Syariah,3
2022-06-01,Johor,Johor,Jenayah,Jenayah Luar Bidang Kuasa,35
2022-06-01,Johor,Johor,Jenayah,Tidak Dinyatakan,1
2022-06-01,Johor,Johor,Sivil,Keluarga Sivil,113
2022-06-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,19
2022-06-01,Johor,Johor,Sivil,Sivil Pelbagai,22
2022-06-01,Johor,Johor,Sivil,Tidak Dinyatakan,34
2022-06-01,Johor,Johor,Syariah,Keluarga Syariah,201
2022-06-01,Johor,Johor,Syariah,Syariah Luar Bidang Kuasa,1
2022-06-01,Johor,Johor,Syariah,Tidak Dinyatakan,1
2022-06-01,Johor,Muar,Sivil,Keluarga Sivil,2
2022-06-01,Johor,Muar,Sivil,Sivil Luar Bidang Kuasa,4
2022-06-01,Johor,Muar,Sivil,Tidak Dinyatakan,40
2022-06-01,Johor,Muar,Syariah,Keluarga Syariah,61
2022-06-01,Kedah,Kedah,Jenayah,Jenayah Luar Bidang Kuasa,36
2022-06-01,Kedah,Kedah,Jenayah,Tidak Dinyatakan,5
2022-06-01,Kedah,Kedah,Sivil,Keluarga Sivil,21
2022-06-01,Kedah,Kedah,Sivil,Sivil Luar Bidang Kuasa,5
2022-06-01,Kedah,Kedah,Sivil,Sivil Pelbagai,5
2022-06-01,Kedah,Kedah,Sivil,Tidak Dinyatakan,6
2022-06-01,Kedah,Kedah,Syariah,Keluarga Syariah,124
2022-06-01,Kedah,Kedah,Syariah,Tidak Dinyatakan,13
2022-06-01,Kedah,Langkawi,Sivil,Keluarga Sivil,4
2022-06-01,Kedah,Langkawi,Sivil,Sivil Pelbagai,5
2022-06-01,Kedah,Langkawi,Syariah,Keluarga Syariah,16
2022-06-01,Kelantan,Gua Musang,Jenayah,Jenayah Bidang Kuasa,5
2022-06-01,Kelantan,Gua Musang,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-06-01,Kelantan,Gua Musang,Sivil,Sivil Luar Bidang Kuasa,1
2022-06-01,Kelantan,Gua Musang,Sivil,Sivil Pelbagai,2
2022-06-01,Kelantan,Gua Musang,Sivil,Tidak Dinyatakan,1
2022-06-01,Kelantan,Gua Musang,Syariah,Keluarga Syariah,13
2022-06-01,Kelantan,Kelantan,Jenayah,Jenayah Bidang Kuasa,13
2022-06-01,Kelantan,Kelantan,Jenayah,Jenayah Luar Bidang Kuasa,57
2022-06-01,Kelantan,Kelantan,Jenayah,Tidak Dinyatakan,74
2022-06-01,Kelantan,Kelantan,Sivil,Keluarga Sivil,5
2022-06-01,Kelantan,Kelantan,Sivil,Sivil Luar Bidang Kuasa,4
2022-06-01,Kelantan,Kelantan,Sivil,Sivil Pelbagai,7
2022-06-01,Kelantan,Kelantan,Sivil,Tidak Dinyatakan,18
2022-06-01,Kelantan,Kelantan,Syariah,Keluarga Syariah,52
2022-06-01,Kelantan,Kelantan,Syariah,Tidak Dinyatakan,171
2022-06-01,Melaka,Melaka,Jenayah,Jenayah Bidang Kuasa,1
2022-06-01,Melaka,Melaka,Jenayah,Jenayah Luar Bidang Kuasa,12
2022-06-01,Melaka,Melaka,Sivil,Keluarga Sivil,25
2022-06-01,Melaka,Melaka,Sivil,Sivil Luar Bidang Kuasa,11
2022-06-01,Melaka,Melaka,Sivil,Sivil Pelbagai,6
2022-06-01,Melaka,Melaka,Syariah,Keluarga Syariah,38
2022-06-01,Melaka,Melaka,Syariah,Tidak Dinyatakan,1
2022-06-01,Negeri Sembilan,Negeri Sembilan,Jenayah,Tidak Dinyatakan,2
2022-06-01,Negeri Sembilan,Negeri Sembilan,Sivil,Keluarga Sivil,26
2022-06-01,Negeri Sembilan,Negeri Sembilan,Sivil,Sivil Pelbagai,4
2022-06-01,Negeri Sembilan,Negeri Sembilan,Sivil,Tidak Dinyatakan,17
2022-06-01,Negeri Sembilan,Negeri Sembilan,Syariah,Keluarga Syariah,37
2022-06-01,Negeri Sembilan,Negeri Sembilan,Syariah,Syariah Luar Bidang Kuasa,1
2022-06-01,Negeri Sembilan,Negeri Sembilan,Syariah,Tidak Dinyatakan,2
2022-06-01,Pahang,Pahang,Jenayah,Jenayah Luar Bidang Kuasa,19
2022-06-01,Pahang,Pahang,Jenayah,Tidak Dinyatakan,1
2022-06-01,Pahang,Pahang,Sivil,Keluarga Sivil,13
2022-06-01,Pahang,Pahang,Sivil,Sivil Luar Bidang Kuasa,5
2022-06-01,Pahang,Pahang,Sivil,Sivil Pelbagai,11
2022-06-01,Pahang,Pahang,Syariah,Keluarga Syariah,71
2022-06-01,Pahang,Pahang,Syariah,Tidak Dinyatakan,4
2022-06-01,Pahang,Raub,Jenayah,Jenayah Luar Bidang Kuasa,15
2022-06-01,Pahang,Raub,Sivil,Keluarga Sivil,5
2022-06-01,Pahang,Raub,Sivil,Sivil Luar Bidang Kuasa,2
2022-06-01,Pahang,Raub,Sivil,Sivil Pelbagai,8
2022-06-01,Pahang,Raub,Syariah,Keluarga Syariah,63
2022-06-01,Pahang,Raub,Syariah,Tidak Dinyatakan,1
2022-06-01,Perak,Perak,Jenayah,Jenayah Bidang Kuasa,1
2022-06-01,Perak,Perak,Jenayah,Jenayah Luar Bidang Kuasa,54
2022-06-01,Perak,Perak,Jenayah,Tidak Dinyatakan,1
2022-06-01,Perak,Perak,Sivil,Keluarga Sivil,106
2022-06-01,Perak,Perak,Sivil,Sivil Luar Bidang Kuasa,13
2022-06-01,Perak,Perak,Sivil,Sivil Pelbagai,24
2022-06-01,Perak,Perak,Sivil,Tidak Dinyatakan,1
2022-06-01,Perak,Perak,Syariah,Keluarga Syariah,127
2022-06-01,Perak,Perak,Syariah,Syariah Luar Bidang Kuasa,1
2022-06-01,Perak,Perak,Syariah,Tidak Dinyatakan,1
2022-06-01,Perak,Taiping,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-06-01,Perak,Taiping,Sivil,Keluarga Sivil,1
2022-06-01,Perak,Taiping,Sivil,Sivil Luar Bidang Kuasa,1
2022-06-01,Perak,Taiping,Sivil,Sivil Pelbagai,2
2022-06-01,Perak,Taiping,Sivil,Tidak Dinyatakan,20
2022-06-01,Perak,Taiping,Syariah,Keluarga Syariah,13
2022-06-01,Perak,Taiping,Syariah,Tidak Dinyatakan,2
2022-06-01,Perlis,Perlis,Jenayah,Jenayah Bidang Kuasa,9
2022-06-01,Perlis,Perlis,Jenayah,Jenayah Luar Bidang Kuasa,16
2022-06-01,Perlis,Perlis,Sivil,Keluarga Sivil,8
2022-06-01,Perlis,Perlis,Sivil,Sivil Luar Bidang Kuasa,11
2022-06-01,Perlis,Perlis,Sivil,Sivil Pelbagai,5
2022-06-01,Perlis,Perlis,Syariah,Keluarga Syariah,29
2022-06-01,Perlis,Perlis,Syariah,Tidak Dinyatakan,4
2022-06-01,Pulau Pinang,Pulau Pinang,Jenayah,Jenayah Bidang Kuasa,3
2022-06-01,Pulau Pinang,Pulau Pinang,Jenayah,Jenayah Luar Bidang Kuasa,28
2022-06-01,Pulau Pinang,Pulau Pinang,Sivil,Keluarga Sivil,95
2022-06-01,Pulau Pinang,Pulau Pinang,Sivil,Sivil Luar Bidang Kuasa,10
2022-06-01,Pulau Pinang,Pulau Pinang,Sivil,Sivil Pelbagai,22
2022-06-01,Pulau Pinang,Pulau Pinang,Sivil,Tidak Dinyatakan,1
2022-06-01,Pulau Pinang,Pulau Pinang,Syariah,Keluarga Syariah,80
2022-06-01,Pulau Pinang,Pulau Pinang,Syariah,Tidak Dinyatakan,1
2022-06-01,Sarawak,Miri,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-06-01,Sarawak,Miri,Sivil,Keluarga Sivil,76
2022-06-01,Sarawak,Miri,Sivil,Sivil Luar Bidang Kuasa,2
2022-06-01,Sarawak,Miri,Sivil,Sivil Pelbagai,2
2022-06-01,Sarawak,Miri,Syariah,Keluarga Syariah,52
2022-06-01,Sarawak,Sarawak,Jenayah,Jenayah Bidang Kuasa,2
2022-06-01,Sarawak,Sarawak,Jenayah,Jenayah Luar Bidang Kuasa,1
2022-06-01,Sarawak,Sarawak,Sivil,Keluarga Sivil,105
2022-06-01,Sarawak,Sarawak,Sivil,Sivil Luar Bidang Kuasa,8
2022-06-01,Sarawak,Sarawak,Sivil,Sivil Pelbagai,5
2022-06-01,Sarawak,Sarawak,Sivil,Tidak Dinyatakan,3
2022-06-01,Sarawak,Sarawak,Syariah,Keluarga Syariah,61
2022-06-01,Sarawak,Sibu,Sivil,Keluarga Sivil,5
2022-06-01,Sarawak,Sibu,Sivil,Tidak Dinyatakan,29
2022-06-01,Sarawak,Sibu,Syariah,Keluarga Syariah,27
2022-06-01,Selangor,Selangor,Jenayah,Jenayah Bidang Kuasa,1
